fid;Nr.;Nafn;Gerð;NG;X;Y;Z;H;Lengd;Horn;Unnið af;Dagsetning;tími;Ljósmynd;ALmenn lýsing á Jarðvegsaðstæðum;Til sérstakrar athugunar;Stagfestugerð;Gæði mats (1:borað, 2:pjakkað, 3:metið á staðnum) (V-H-A-F);Dýpi á jarðvatn [m] (V-H-A-F);Þykkt á lífrænu lagi [m] (V-H-A-F);Dýpi á burðarhæft [m] (V-H-A-F);Dýpi á fast [m] (V-H-A-F);Lífrænt efni (V-H-A-F);Yfir burðarhæfu (V-H-A-F);Burðarhæft efni (V-H-A-F);Klöpp (V-H-A-F);Er Nægjanlegt pláss fyrir mastrið, undirstöður, stagfestur og annan búnað?;Eru aðstæður fullnægjandi (fen, skurður, lækjarfarvegur o.s.frv.)?;Er mastrið utan hættusvæðis vegna landsbrots, skriðufalla, snjóflóða o.s.frv.?;Er mastrið utan við tún eða aðra viðkvæma staði?;Er staðbundin snjósöfnun í mastursstæði ólíkleg?;Er hóflegur hliðarhalli í mastursstæði?;Er þörf á sérstökum ráðstöfunum í mastursstæði? Ef þörf, þá hver?;Eru aðstæður í mastursstæði betri ef mastri er hliðrað til?;Leiðir færsla á mastri til þess að færa þurfi næstu möstur?;Er góð aðkoma að mastursstæði;Er þörf á aðkomuslóð (ef ekki, þá hvers vegna?);Er þörf á slóð fyrir jarðvinnutæki?;Er þörf á reisingarplani fyrir krana?;Búið að teikna aðkomuslóð a mynd?;Uppfyllir mastursstæði kröfur reglugerða um fjarlægð frá vegum og öðrum mannvirkjum? (1: já, 2:nei);Mastursstæði er í lagi, ekki þörf á breytingu;Skráning lokið (x)
23;21;19-B;BS;21 BS;458985.145;551718.05;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509972/HH3-19-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;22;20-B;SMH;22 SMH;458899.506;551951.443;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509986/HH3-20-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509977/HH3-20-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509984/HH3-20-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509982/HH3-20-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509988/HH3-20-B_7.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509980/HH3-20-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509974/HH3-20-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;23;21-B;BS;23 BS;458836.771;552269.718;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509990/HH3-21-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509993/HH3-21-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788509995/HH3-21-B_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;24;22-B;BS;24 BS;458773.547;552590.476;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788509998/HH3-22-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;25;23-B;BS;25 BS;458725.831;552832.559;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510002/HH3-23-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510000/HH3-23-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;26;24-B;BS;26 BS;458659.438;553169.397;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510014/HH3-24-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510007/HH3-24-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510004/HH3-24-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510012/HH3-24-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510009/HH3-24-B_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;27;25-B;BS;27 BS;458593.994;553501.417;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510019/HH3-25-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510021/HH3-25-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510024/HH3-25-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510017/HH3-25-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510026/HH3-25-B_5.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;28;26-B;BS;28 BS;458537.981;553785.589;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510028/HH3-26-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510033/HH3-26-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510030/HH3-26-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510035/HH3-26-B_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;29;27-B;BS;29 BS;458490.58;554026.072;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510047/HH3-27-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510037/HH3-27-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510045/HH3-27-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510040/HH3-27-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510050/HH3-27-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510043/HH3-27-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510054/HH3-27-B_8.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510052/HH3-27-B_7.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;30;28-B;BS;30 BS;458437.786;554293.916;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510067/HH3-28-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510063/HH3-28-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510061/HH3-28-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510056/HH3-28-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510065/HH3-28-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510058/HH3-28-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510069/HH3-28-B_7.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
